tweet	sentiment	description	lon	lat	date	number
#100acchedin m in delhi can feel ...ministers picking up their own phone and call u back if miss a call	sadness	 invisible nostalgic ashamed broken unloved 	77.138847	28.671006	2014-09-02	1
#40 you're totally cool dude!😎 i remember i had computer class with you!😭	sadness	 regret discouraged down embarrassed betrayed 	-97.359655	32.773169	2014-09-24	2
#5sosspinsuperhero @spin1038 i would be llamagirl and turn villains(haters) into llamas before sending them to the land of computer history	trust	 professional acceptance optimism safe creative 	-6.331084	53.305256	2014-09-04	3
#5sosspinsuperhero @spin1038 iwould be llamagirl! i turn villians (haters) into llamas before sending them into the land of computer history	trust	 optimism kind special optimistic positive acceptance welcome 	-6.321376	53.305603	2014-09-04	4
#applelive #apple suck #teamandroid   if you got a apple phone you suck monkey ass!!!!!!!	anger	 furious aggravated mad angry pissedoff rage 	-81.779715	36.772644	2014-09-10	5
#attnextsucks don't refer to a cell phone like you would a car. 0 down? give me a break.	sadness	 ignored miserable unloved trapped useless 	-118.489376	34.15685	2014-09-12	6
#elmo is voodoo! love this @elvisduranshow phone tap! @daniellemonaro	trust	 creative complete safe pretty confident cute 	-71.855447	42.117923	2014-09-09	7
#flashbackfriday @kaylajean_gv would push me around in a wheelchair (computer chair) & make me pretend i'm crippled & she was my doc	sadness	 unloved nostalgic unwanted betrayed unhappy 	-80.277742	26.241008	2014-09-05	8
#followmetaylor your my background on my phone @taylorcaniff and i would be really happy if you followed me!!	trust	 honored complete appreciated kind confident 	-95.868563	32.180785	2014-09-12	9
#hollywoodtaughtus that you cannot trace a phone call second time because their technology will always be advanced.	trust	 kind acceptance confident pride stuck 	72.521536	23.0549	2014-09-04	10
#ifiwokeupwithamnesia id probably cry bc i'd be locked out of my phone	sadness	 embarrassed devastated miserable broke ignored conflicted hopeless 	-87.515048	37.949841	2014-09-16	11
#ifmyphonegothacked ...... it would not happen bc i always have my phone . 😂😂😂	sadness	 sadness regret blue upset invisible miserable 	-82.084519	33.363025	2014-09-01	12
#ifwedate you can look at my phone whenever you want because i have nothing to hide	sadness	 broke unhappy hopeless broken alone useless 	-83.643783	42.954746	2014-09-29	13
#ios8 is all the shit that my phone could already do. #teamgalaxy	anger	 aggravated angry irritated rage anger 	-104.821322	38.917311	2014-09-17	14
#livewithemblem3 @wesleystromberg @keatonstromberg @emblemthree my phone is gonna die!! :( please say you love me! ♡	sadness	 broken depressed sadness ignored unloved 	-88.091396	42.961806	2014-09-19	15
#makesmeyup follow @letsyup and win smartphone @ankurjain_oist @sweetjiyababe @karan009wahi @eramit_ranjan @imyokesh	trust	 crafty creative special professional honored trust 	72.984493	19.247753	2014-09-09	16
#makesmeyup follow @letsyup and win smartphone @umeshgoyal007 @umangpilot @trishabiswas93 @alexguiarebello @ladyishita @ishilpa_	trust	 crafty special creative professional honored trust 	72.984493	19.247753	2014-09-09	17
#motorola moto g2 a. great phone at great price. hope moto x 2nd gen is launched soon.	trust	 creative optimistic special optimism honored positive inspired welcome 	77.300832	28.594408	2014-09-09	18
#nerdsniping #adding word to dictionnary in phone #xkcd #whatif	trust	 secure trust kind empowered professional acceptance 	13.005341	55.602769	2014-09-25	19
#norubber #boundaries no you cannot go through my phone. it's not cute.  i won't touch yours.	sadness	 grief broke hopeless embarrassed regret broken 	-7.775544	53.730947	2014-09-18	20
#oliviapope runs away but doesn't disconnect the phone??? #smh #scandal ok... commercial break over	disgust	 horrible disgusted dumb terrible boredom 	-80.039027	39.151569	2014-09-26	21
#oomfs came through the clutch for charging my phone today 😂🙏😌	joy	 accomplished relieved satisfied loved lucky 	-89.578452	40.724699	2014-09-13	22
#ooomf keep calling my phone like nooo no 😂✋ df you want now we ain't talk in 2 weeks.	sadness	 neglected unwanted broken unloved ignored 	-79.871438	40.407231	2014-10-01	23
"#orangeroom my cable/phone/internet bill is killing me!! went up $53.00 last month, yet nothing changed!!"	anger	 furious rage frustrated irritated angry 	-73.450934	40.726874	2014-09-18	24
#problempewds my boyfriend plays computer games when im with him.... i try to play them but im bad... help!!	sadness	 sadness broken alone depressed lonely 	18.496475	-33.855969	2014-09-06	25
#shrpo is that mikes phone going? getting texts about dans hands if there is no delay on the stream?	fear	 spooky unsure suspicious fear insecure 	-4.16273	55.75766	2014-09-03	26
#sidehoebenefits ... she never asks to hold your phone she knows better.	sadness	 unloved ignored grief hopeless ashamed 	-82.415215	29.655179	2014-09-22	27
"#tbt to grade 12 english when i tripped over the projector cord during my presentation and broke the projector, laptop, and usb."	sadness	 ashamed embarrassed unhappy devastated regret 	-79.53372	43.855261	2014-09-12	28
#thespeakmans cant get through on the phone i really do need ur help wi my phobia	sadness	 helpless unhappy hopeless ignored undecided embarrassed 	-1.434005	53.454678	2014-09-03	29
"#u2songsofinnocence is absolute garbage, thank you for making my next phone choice so easy apple #anythingbutapple"	joy	 satisfied spoiled delighted inlove relieved special 	-119.19747	50.444048	2014-09-24	30
"#wheniwasakid i called 911, thinking it was my parents' phone number @fallontonight"	sadness	 unloved unwanted embarrassed betrayed nostalgic 	-122.239459	37.993634	2014-09-11	31
#wlfeowednesday (nice auds) many thanks to @haileyerinwal for comin in clutch and bringing me my laptop charger and expos book @ksu_adpi	trust	 creative honored spoiled special professional 	-96.580214	39.190469	2014-09-03	32
$aapl biggest risk is if big 3 cell carriers ever decide to stop phone subsidy. this would crush the stock & sales	sadness	 devastated embarrassed betrayed regret miserable 	-74.475847	40.619882	2014-09-12	33
& when i say hot line i mean the phone: not literally a hotline.	sadness	 unloved embarrassed ashamed ignored unhappy invisible awful 	-96.468377	42.228907	2014-09-13	34
(•_•) <)* *)╯my phone   /  * \           \(•_•)    (* *(>  got  / * \     (•_•)  <)* *)> hacked  /  * \	trust	 grateful trust creative cute healthy 	-118.887526	34.270061	2014-09-01	35
*checks phone every 5 minutes for notifications that aren't there*	sadness	 challenged discouraged neglected useless pained 	-111.721732	33.389546	2014-09-28	36
"*gets keys* *grabs rest of bottle* *leaves phone* i'm going somewhere....this has been the worst tuesday, and august, ever......"	disgust	 boredom horrible hungover rough awful 	-95.995192	30.094815	2014-09-03	37
